Latitud,Longitud,Regional,Provincia,Ciudad,Tipo_CS,Nombre_agencia,Sector,Direccion,Telefono,Supervisor,Entrega_en_oficina,Hora_promedio_entrega,Horario_Lunes_Viernes,Horario_fin_semana,Email
-1.276244,-78.624041,NORTE,TUNGURAHUA,AMBATO,CRESS,AMBATO_HUACHI SOLIS,SUR,AV. JULIO JARAMILLO Y CARLOS TORO,0987768021,TREJO BATIOJA ELIANA KATHERINE,SI,11H00,09H00 A 13H00 Y 14H00 A 18H00,09H00 A 13H00,cshuachisolis.ambato@hotmail.com
-1.225833,-78.600356,NORTE,TUNGURAHUA,AMBATO,DIRECTO,AMBATO_IZAMBA 1,NORTE,RODRIGO PANCHANO SN Y 22 DE ENERO,03-3732000 EXT 3320,TREJO BATIOJA ELIANA KATHERINE,SI,10H30,08H00 A 13H00 - 14H00 A 18H00,09H00 A 13H00,csizamba.ambato@servientrega.com.ec
-1.261939,-78.628434,NORTE,TUNGURAHUA,AMBATO,DIRECTO,AMBATO_LA ATAHUALPA,SUR,AV. ATAHUALPA S/N Y MARCOS MONTALVO,03-3732000 EXT 3301,TREJO BATIOJA ELIANA KATHERINE,SI,11h00,08H00 A 16H30,NO LABORA,cslaatahualpa.ambato@servientrega.com.ec
-1.267744,-78.633274,NORTE,TUNGURAHUA,AMBATO,CRESS,AMBATO_LA FLORESTA,SUR,AV VICTOR HUGO ENTRE ERNESTO ALBAN Y JACOME,0983974312,TREJO BATIOJA ELIANA KATHERINE,SI,14H00,09H00 A 13H00 - 14H00 A 18H00,09H00 A 13H00,cslafloresta.ambato@hotmail.com
-1.2351134,-78.6207982,NORTE,TUNGURAHUA,AMBATO,DIRECTO,AMBATO_LA MERCED,CENTRO,PRIMERA IMPRENTA S/N Y ABDON CALDERON,03-3732000 EXT 3307,TREJO BATIOJA ELIANA KATHERINE,SI,11H00,09H00 A 18H00,09H00 A 13H00,cslamerced.ambato@servientrega.com.ec
-1.2594614,-78.6400695,NORTE,TUNGURAHUA,AMBATO,DIRECTO,AMBATO_MANUELA SAENZ,SUR,MANUELA SAENZ S/N Y BARCELONA,3732000 EXT 3327,TREJO BATIOJA ELIANA KATHERINE,SI,11H00,09H00 A 13H00 - 14H00 A 18H00,09H00 A 13H00,csmanuelasaenz.ambato@servientrega.com.ec
-1.240734,-78.627917,NORTE,TUNGURAHUA,AMBATO,DIRECTO,AMBATO_MARTINEZ,CENTRO,AV. MARTINEZ 05-32 ENTRE BOLIVAR Y SUCRE,03-3732000 EXT 3303,TREJO BATIOJA ELIANA KATHERINE,SI,11H00,09H00 A 13H00 - 14H00 A 18H00,NO LABORA,csmartinez.ambato@servientrega.com.ec
-1.257024,-78.633835,NORTE,TUNGURAHUA,AMBATO,CRESS,AMBATO_MERCADO SUR,SUR,ANTONIO CLAVIJO S/N Y ANICETO JORDAN MANZANO,0999984154,TREJO BATIOJA ELIANA KATHERINE,SI,11H00,09H00 A 13H00 - 14H00 A 18H00,09H00 A 13H00,csmercadosur.ambato@hotmail.com
-1.232343,-78.641621,NORTE,TUNGURAHUA,AMBATO,CRESS,AMBATO_PINLLO,CENTRO,MAUGERI S/N Y EL COSMOS,0980760458,TREJO BATIOJA ELIANA KATHERINE,SI,14H00,09H00 A 13H00 - 14H00 A 18H0,09H00 A 13H00,cspinllo.ambato@hotmail.com
-1.263243,-78.612553,NORTE,TUNGURAHUA,AMBATO,CRESS,AMBATO_POLIDEPORTIVO,NORTE,BOLIVARIANA S/N Y REAL AUDIENCIA,0995691419,TREJO BATIOJA ELIANA KATHERINE,SI,11H00,09H00 A 13H00 - 14H00 A 18H00,09H00 A 13H00,cspolideportivo.ambato@hotmail.com
-1.1953377,-78.5948687,NORTE,TUNGURAHUA,AMBATO,DIRECTO,AMBATO_PRINCIPAL,NORTE,AV. PRIMERA S/N Y CALLE D,03-3732000 EXT 3130,TREJO BATIOJA ELIANA KATHERINE,SI,08H30,09H00 A 13H00 - 14H00 A 18H00,09H00 A 13H00,csprincipal.ambato@servientrega.com.ec
-1.2534572,-78.6299372,NORTE,TUNGURAHUA,AMBATO,DIRECTO,AMBATO_SAN ANTONIO,CENTRO SUR,RUMINAHUI 07-22 Y SHYRIS,3732000 ext 2359,TREJO BATIOJA ELIANA KATHERINE,SI,11H00,09H00 A 13H00 - 14H00 A 18H00,NO LABORA,cssanantonio.ambato@servientrega.com.ec
-1.280045,-78.659863,NORTE,TUNGURAHUA,AMBATO,CONCESION,AMBATO_SANTA ROSA,SUROESTE,VIA A GUARANDA S/N Y VIA A ECUATRAN,0990200017,TREJO BATIOJA ELIANA KATHERINE,SI,14H00,09H00 A 18H00,09H00 A 13H00,cssantarosa.ambato@hotmail.com
-1.2965577,-78.6036525,NORTE,TUNGURAHUA,AMBATO,CRESS,AMBATO_UNIANDES,NORTE,AV. BOLIVARIANA Y GUSTAVO ALVAREZ GONZALEZ,0997758363,TREJO BATIOJA ELIANA KATHERINE,SI,11H00,09H00 A 13H00- 14H00 A 18H00,09H00 A 13H00,csuniandes.ambato@hotmail.com
-1.270461,-78.626530,NORTE,TUNGURAHUA,AMBATO,CRESS,AMBATO_UTA,NORTE,RIO PAYAMINO S/N Y AV. DE LOS CHASQUIS,0992893146,TREJO BATIOJA ELIANA KATHERINE,SI,10H00,09H00 A 13H00 - 14H00 A 18H00,09H00 A 13H00,csuta.ambato1@hotmail.com
-2.3238632,-80.8547462,SUR,SANTA ELENA,ANCON,CRESS,ANCON_BARRIO CENTRAL,NOROESTE,BARRIO CENTRAL DIAGONAL UPC ZONA CENTRICA,0978840210,OMAR CRISTOBAL MACIAS MAYOR,SI,14H00,09H00 A 18H00,09H30 A 14H30,csbarriocentral.ancon@gmail.com
-0.911634,-77.807184,NORTE,NAPO,ARCHIDONA,CONCESION,ARCHIDONA_PRINCIPAL,CENTRO,PASAJE CORONEL PAEZ S/N Y CIRCUNVALACION,0939530430,TREJO BATIOJA ELIANA KATHERINE,SI,15H00,09H00 A 12H00 - 13H00 A 17H00,09H00 A 12H00,csarchidona.principal@hotmail.com
-3.554640,-80.061827,SUR,EL ORO,ARENILLAS,CONCESION,ARENILLAS_EDMUNDO CHIRIBOGA,CENTRO,EDMUNDO CHIRIBOGA E/ JUAN MONTALVO Y PIO MONTUFAR,0958850946 - 0968523990,RAMIREZ GONZALEZ JUAN CARLOS,SI,14H00,09:00 a 13:00 - 14:00 a 17:00,10H00 A 14H00,csedmundochiriboga.arenilla@gmail.com
-0.0835965,-78.2917303,NORTE,PICHINCHA,ASCAZUBI,CONCESION,ASCAZUBI_PRINCIPAL,CENTRO,GUAYAQUIL Y ELOY ALFARO,0987952751 - 0995852383,PABLO ARTURO AILLON CERVANTE,SI,14H00,09H30 A 13H30 - 14H30 A 18H00,09H30 A 13H30,csprincipal.ascazubi@hotmail.com
0.868394,-79.850777,NORTE,ESMERALDAS,ATACAMES,DIRECTO,ATACAMES_PRINCIPAL,CENTRO,CALLE 22 N SL15 Y VIA SECUNDARIA,06-3732000 EXT 6300,VELASCO BAILON NANCY ELIZABETH,SI,14H00,08H00 A 12H00 Y 13H00 A 17H30,08H00 A 13H00,csprincipal.atacames@servientrega.com.ec
0.3329049,-78.2179774,NORTE,IMBABURA,ATUNTAQUI,CRESS,ATUNTAQUI_CENTRO,CENTRO,OLMEDO S/N Y SUCRE,06-5008520 - 0992950285,ANDRADE GUERRERO JAIME ERNESTO,SI,11H00,08H00 A 13H00 - 14H00 A 17H30,09H00 A 13H00,cscentro.atuntaqui@hotmail.com
0.3271292,-78.2152867,NORTE,IMBABURA,ATUNTAQUI,DIRECTO,ATUNTAQUI_PRINCIPAL,NORTE,PANAMERICANA SUR Y GONZALEZ SUAREZ,06-3732000 EXT 6301,ANDRADE GUERRERO JAIME ERNESTO,SI,10H00,08H00 A 13H00 Y 14H00 A 17H00,08H00 A 12H00,glenda.marquez@servientrega.com.ec
-2.7470603,-78.8529207,SUR,CANAR,AZOGUES,CRESS,AZOGUES_16 DE ABRIL,SUR,AV 16 DE ABRIL Y CALLE S/N REF. ATRÁS DE LA LAVADORA DEL RIO Y MEGAHIERRO,0939900182,ROSA HERMELINDA QUITO SINCHI,SI,10H00,08H30 A 12H00 - 13H00 A 18H00,09H00 A 13H00,csav16deabril.azogues@gmail.com
-2.738388,-78.846946,SUR,CANAR,AZOGUES,CRESS,AZOGUES_SOLANO,CENTRO,CALLE SOLANO Y MATOVELLE,0983993473,ROSA HERMELINDA QUITO SINCHI,SI,10H00,08H30 A 13H30 - 14H00 A 18H30,09H00 A 12H30,cssolano.azogues@gmail.com
-1.78333,-79.6667,SUR,LOS RIOS,BABA,CONCESION,BABA_CALLE GUAYAQUIL,NORTE,CALLE GUAYAQUIL NUMERO 0 Y BARONA REF A 50 METROS DE AGRIPAC FRENTE AL COMERCIAL TRES HERMANOS,0995790473,ESPIN OVIEDO JOSE EUCLIDES,SI,10H00,09H30 A 16H30,09H30 A 12H00,cscalleguayaquil.baba@gmail.com
-1.801871,-79.514025,SUR,LOS RIOS,BABAHOYO,CRESS,BABAHOYO_AV. UNIVERSITARIA,NORTE,AV UNIVERSITARIA Y CALLE W FRENTE UNIVERDIDAD TECNICA DE BABAHOYO,0989010866,ESPIN OVIEDO JOSE EUCLIDES,SI,10H00,08H30 A 13H00 - 14H00 A 17H30,09H00 A 13H00,CSAVUNIVERSITARIA.BABAHOYO@GMAIL.COM
-1.794489,-79.527194,SUR,LOS RIOS,BABAHOYO,CRESS,BABAHOYO_BARREIRO VIADUCTO,NORTE,AV CLEMENTE BAQUERIZO Y TRANSVERSAL,0967764220,ESPIN OVIEDO JOSE EUCLIDES,SI,12H00,08H00 A 18H30,08H00 A 16H00,servientregabarreiro@gmail.com
-1.811688,-79.544237,SUR,LOS RIOS,BABAHOYO,CRESS,BABAHOYO_BY PASS,SUR,AV.25 DE JUNIO BY PASS TERMINAL TERRESTRE BABAHOYO,0967470571,ESPIN OVIEDO JOSE EUCLIDES,SI,10H00,08:00 a 17:00,09:00 A 13:00,csbypass.babahoyo@gmail.com
-1.80378,-79.53505,SUR,LOS RIOS,BABAHOYO,CRESS,BABAHOYO_CALLE 6 DE OCTUBRE,NORTE,CALLE 6 DE OCTUBRE S/N E ISAIAS CHOPITEA,0990681168,ESPIN OVIEDO JOSE EUCLIDES,SI,10H00,08H30 A 17H00,09H00 A 12H00,cs6deoctubre.babahoyo@gmail.com
-1.801816,-79.532267,SUR,LOS RIOS,BABAHOYO,DIRECTO,BABAHOYO_CALLE JUAN X MARCOS,NORTE,CALLE JUAN X MARCOS NUMERO 550 Y MARTIN ICAZA REF A 50 METROS DE LA FARMACIA CRUZ AZUL,3732000 EXT 5314,ESPIN OVIEDO JOSE EUCLIDES,SI,09H30,08H00 A 12H00- 13H00 A 18H00,08H30 A 12H30,cscallejuanxmarcos.babahoyo@servientrega.com.ec
-1.833921,-79.546330,SUR,LOS RIOS,BABAHOYO,DIRECTO,BABAHOYO_CRUCE CHILINTOMO,SUR,CRUCE DE CHILINTOMO - KM 1 VIA GUAYAQUIL,05-3732000 EXT 5110,ESPIN OVIEDO JOSE EUCLIDES,SI,09H00,08H00 A 18H30,08:00 a 12:00,cscrucechilintomo.babahoyo@servientrega.com.ec
-1.801200,-79.537893,SUR,LOS RIOS,BABAHOYO,DIRECTO,BABAHOYO_EDIFICIO JUAN LORENZO,SUR,10 DE AGOSTO 1527 E/ RICAURTE Y BARREIRO,05-3732000 EXT 5300,ESPIN OVIEDO JOSE EUCLIDES,SI,11H00,08:00 a 12:00 - 14:00 a 18:00,08:00 a 12:00,csedificiojuanlorenzo.babahoyo@servientrega.com.ec
-1.799017,-79.534354,SUR,LOS RIOS,BABAHOYO,CRESS,BABAHOYO_GENERAL BARONA,CENTRO,GENERAL BARONAL Y ROCAFUERTE,0995790473,ESPIN OVIEDO JOSE EUCLIDES,SI,10H00,09H00 A 13H00 Y 14H00 A 18H00,NO LABORA,csgeneralbarona.babahoyo@gmail.com
-0.461357,-77.9078457,NORTE,NAPO,BAEZA,CONCESION,BAEZA_PRINCIPAL,CENTRO,VIA A QUITO 201 Y LA Y DE BAEZA,0981800870,PABLO ARTURO AILLON CERVANTE,SI,12H00,08H00 A 12H00 Y 13H00 A 17H00,08H00 A 12H00,baeza.principal@hotmail.com
-0.603676,-80.423616,SUR,MANABI,BAHIA DE CARAQUEZ,CONCESION,BAHIA DE CARAQUEZ_MALECON,CENTRO,AV MALECON S/N ENTRE ANTONIO ANTE Y AGUILERA,0980518138,TANIA YESENIA GARCIA LUNA,SI,09H30,08H00 A 12H00 - 13H00 A 17H00,08H00 A 12H00,CSMALECONCALLEANTONIOANTE.BAHIA@GMAIL.COM
-2.216383,-80.866300,SUR,SANTA ELENA,BALLENITA,CRESS,BALLENITA_TT SUMPA,NORTE,VA A BALLENITA - DIAGONAL A LA OFICINA DE LA COOP.,0982497160,OMAR CRISTOBAL MACIAS MAYOR,NO,-,08H00 A 18H00,08H30 A 17H00,csttsumpa.ballenita@gmail.com
-3.7614,-79.8245,SUR,EL ORO,BALSAS,CONCESION,BALSAS_PADRE GUZMAN,CENTRO,PADRE GUZMAN AYORA C.BALSAS,968523999,RAMIREZ GONZALEZ JUAN CARLOS,SI,14H00,08:30 a 12:00 - 14:00 a 18:00,09H00 A 13H00,cspadreguzman.balsas@gmail.com
-1.366634,-79.908459,SUR,GUAYAS,BALZAR,CONCESION,BALZAR_BALZAR,CENTRO,26 DE SEPTIEMBRE S/N Y OLMEDO,04-2031407,BETANCOURT HOYOS ISABEL CRISTINA,SI,14H00,08H30 A 12H30 - 14H00 A 18H00,09H00 A 14H00,csbalzar.balzar@gmail.com
-1.396677,-78.423214,NORTE,TUNGURAHUA,BANOS,CONCESION,BANOS_PRINCIPAL,CENTRO,TOMAS HALFLANTS S/N Y ORIENTE,0987000558,TREJO BATIOJA ELIANA KATHERINE,SI,10H30,08H00 A 13H00 - 14H00 A 17H00,09H00 A 13H00,csprincipal.banos1@gmail.com
-2.713624,-78.889568,SUR,CANAR,BIBLIAN,CONCESION,BIBLIAN_ALBERTO OCHOA,CENTRO,ALBERTO OCHOA 857 Y 3 DE NOVIEMBRE,2230325 - 09-68532468,ROSA HERMELINDA QUITO SINCHI,SI,11H00,08:00 a 12:30 - 14:00 a 18:00,09:00 a 12:00,csalbertoochoa.biblian@gmail.com
1.0872452,-78.9889691,NORTE,ESMERALDAS,BORBON,CONCESION,BORBON_PRINCIPAL,CENTRO,HUMBERTO OBANDO SOLAR 17 Y RIO VERDE,0994705100,VELASCO BAILON NANCY ELIZABETH,SI,12H00,08H00 A 18H00,08H00 A 18H00,csprincipal.borbon@hotmail.com
-2.2013409,-79.1372155,SUR,GUAYAS,BUCAY,CONCESION,BUCAY_ELOY ALFARO,CENTRO,ELOY ALFARO 620 Y 9 DE OCTUBRE,04-2727929,BETANCOURT HOYOS ISABEL CRISTINA,SI,10H00,09H00 A 18H00,NO LABORA,cseloyalfaro.bucay@gmail.com
-0.899708,-79.4917756,SUR,LOS RIOS,BUENA FE,CONCESION,BUENA FE_AV. 7 DE AGOSTO,CENTRO,AV. 7 DE AGOSTO Y ANIBAL OYOLA.ESQUINA,05-2952489,CEDENO MAZAMBA HECTOR JAVIER,SI,10H00,08:30 a 13:00 - 14:00 a 17:00,08:30 a 12:00,csav7deagosto.buenafe@gmail.com
-0.84724,-80.164439,SUR,MANABI,CALCETA,CRESS,CALCETA_GRANDA CENTENO,SUR,10 DE AGOSTO Y GRANDA CENTENO,05-2686321,TANIA YESENIA GARCIA LUNA,SI,16H30,08:30 A 12:30 - 14:00 A 17:30,NO LABORA,csgrandacenteno.calceta@gmail.com
-2.1969597,-79.8815969,SUR,MANABI,CALDERON (MANABI),CONCESION,CALDERON (MANABI)_ABDON CALDERON,CENTRO,AV. ELOY ALFARO S/N Y CALLE SECUNDARIA,980073657,TANIA YESENIA GARCIA LUNA,SI,10H00,09H00 A 13H00 - 14H00 A 17H00,09H00 A 14H00,csabdoncalderon.calderonmanabi@gmail.com
-1.631254,-79.256229,SUR,BOLIVAR,CALUMA,CONCESION,CALUMA_AV. DE LA NARANJA,CENTRO,AV. DE LA NARANJA E/ JOSE AGUILAR Y ALFREDO CAMACHO,0999135521,CEDENO MAZAMBA HECTOR JAVIER,SI,14H00,08H30 A 12H30 - 14H00 A 17H00,14H00 A 17H00,csavdelanaranja.caluma@gmail.com
-2.5573656,-78.9373944,SUR,CANAR,CANAR,CONCESION,CANAR_AVE 24 DE MAYO,ESTE,AV 24 DE MAYO Y 10 DE AGOSTO FRENTE A FARMACIA SUIZA,0985854793,ROSA HERMELINDA QUITO SINCHI,SI,10H30,09H00 A 13H00 - 14H00 A 17H00,N/A,csave24demayo.canar@gmail.com
-2.5649662,-78.9383812,SUR,CANAR,CANAR,CRESS,CANAR_CRISTOBAL COLON,NORTE,AV CRISTOBAL COLON S/N Y CALLE QUILLIGANES FRENTE A GRAFIMAC,0959983575,ROSA HERMELINDA QUITO SINCHI,NO,11H00,08H30 A 12H00 - 13H00 A 16H30,N/A,cscristobalcolon.canar@gmail.com
-4.329461,-79.556233,SUR,LOJA,CARIAMANGA,CONCESION,CARIAMANGA_18 DE NOVIEMBRE,NORTE,18 DE NOVIEMBRE Y GERONIMO CARRION,0991593410,SIERRA HIDALGO CRISTIAN PATRICIO,SI,12H00,08H00 A 12H30 - 14H00 A 17H00,08H30 A 12H30,cs18dnoviembre.cariamanga@gmail.com
0.079603,-77.2113438,NORTE,SUCUMBIOS,CASCALES,CONCESION,CASCALES_PRINCIPAL,CENTRO,AV. QUITO SN Y BOLIVAR CENTRAL,06-2800361,MANYA CUJI MARCO ANTONIO,SI,12H00,08H00 A 12H30 - 14H00 A 18H00,08H00 A 12H00,cascales_principal@hotmail.com
-1.66498,-80.45952,SUR,MANABI,CASCOL,CONCESION,CASCOL_PRINCIPAL CASCOL,CENTRO,AV. JOSEFA PONCE S/N Y AV. 13 DE DICIEMBRE FRENTE AL D RESAK CEVICHERIA,0983680155,TANIA YESENIA GARCIA LUNA,SI,12H00,08H30 A 12H30 - 13H30 A 16H30,08H30 A 12H30,csprincipal.cascol@gmail.com
-3.988623,-79.353511,SUR,LOJA,CATAMAYO,CONCESION,CATAMAYO_CALLE SUCRE,CENTRO,SUCRE Y CHILE,07-2677265,SIERRA HIDALGO CRISTIAN PATRICIO,SI,11H00,09H00 A 12H00 - 13H00 A 18H00,09H00 A 15H00,cssucre.catamayo@gmail.com
0.043352,-78.1417705,NORTE,PICHINCHA,CAYAMBE,DIRECTO,CAYAMBE_CALLE VIVAR,CENTRO,CALLE VIVAR E1-33 Y TERAN,02-3732000 EXT 2326,PABLO ARTURO AILLON CERVANTE,SI,11H30,08H00 A 13H00 - 14H00 A 17H00,NO LABORA,cscallevivar.cayambe@servientrega.com.ec
0.0378344,-78.1473317,NORTE,PICHINCHA,CAYAMBE,CRESS,CAYAMBE_PARQUE RUBEN RODRIGUEZ,SUR,AV. NATALIA JARRIN S/N Y CHILE,0999690669,PABLO ARTURO AILLON CERVANTE,SI,12H00,08H30 A 12H30 - 13H00 A 18H00,09H00 A 14H00,csparqueruben.cayambe@hotmail.com
0.0469172,-78.1422301,NORTE,PICHINCHA,CAYAMBE,DIRECTO,CAYAMBE_PRINCIPAL,NORTE,ASCAZUBI N5-97 E IMBABURA,02-3732000 EXT 2325,PABLO ARTURO AILLON CERVANTE,SI,12H30,08H00 A 17H00,09H00 A 12H00,csprincipal.cayambe@servientrega.com.ec
-4.10370,-79.95533,SUR,LOJA,CELICA,CRESS,CELICA_10 DE AGOSTO,SUR,MANUELA CAIZAREZ Y 10 DE AGOSTO,0999446473,SIERRA HIDALGO CRISTIAN PATRICIO,SI,11H00,08H00 A 12H00 - 14H00 A 18H00,09H00 A 12H00,cs10dagosto.celica@gmail.com
-1.354836,-78.616869,NORTE,TUNGURAHUA,CEVALLOS,CONCESION,CEVALLOS_CENTRO,CENTRO,MANUEL VARGAS S/N Y ELIAS BUCHELI,0999935939,TREJO BATIOJA ELIANA KATHERINE,SI,12h00,09H00 A 13H00 - 15H00 A 18H00,09H00 - 12H00,servientrega.cevallos@hotmail.com
-1.727812,-78.5976317,NORTE,CHIMBORAZO,CHAMBO,CONCESION,CHAMBO_PRINCIPAL,CENTRO,18 DE MARZO S/N Y AMELIA GALLEGOS DIAZ,0987724506 / 0983362865,CHRISTIAN EDUARDO BARONA RAMIREZ,SI,11H00,09H00 A 13H00 - 15H00 A 18H00,09H00 A 13H00,csprincipal.chambo@hotmail.com
-2.412194,-80.686295,SUR,SANTA ELENA,CHANDUY,CONCESION,CHANDUY_12 DE OCTUBRE,SUROESTE,12 DE OCTUBRE Y JOSE LUIS TAMAYO ESQUINA,098 527 5670,OMAR CRISTOBAL MACIAS MAYOR,SI,13:30,08H30 A 17H00,08H00 A 12H00,cs12deoctubre.chanduy@gmail.com
-0.837234,-80.488865,SUR,MANABI,CHARAPOTO,CONCESION,CHARAPOTO_JOSE GILCES,CENTRO,JOSE GILCES/ELOY ALFARO Y 12 DE OCT.,05-2670652,TANIA YESENIA GARCIA LUNA,SI,09H00,08:00 A 12:00 - 14:00 A 17H00,NO LABORA,csjosegilces.charapoto@gmail.com
-1.942391,-79.068842,NORTE,BOLIVAR,CHILLANES,CONCESION,CHILLANES_CENTRAL,NORTE,10 DE AGOSTO S/N Y SAN MIGUEL,0985373303 / 0990899820,BYRON FABIAN MORA SANTOS,SI,14H00,09H00 A 13H00 - 14H00 A 18H00,09H00 A 13H00,csprincipal.chillanes@hotmail.com
-0.7069468,-80.107003,SUR,MANABI,CHONE,DIRECTO,CHONE_AV BY PASS,NORTE,AV. BY PASS S/N,3732000 EXT 5313,TANIA YESENIA GARCIA LUNA,SI,N/A,08H00 A 18H30,08H00 A 12H00,csavbypass.chone@servientrega.com.ec
-0.6971260,-80.0954650,SUR,MANABI,CHONE,DIRECTO,CHONE_AV. PICHINCHA,CENTRO,PICHINCHA S/N WASHINGTON Y PAEZ DIAG A COMPU STORE,3732000 ext 5303,TANIA YESENIA GARCIA LUNA,SI,N/A,08H30 A 12H30 - 14H00 A 18H00,08H30 A 12H30,csavpichincha.chone@servientrega.com.ec
-2.921292,-78.775237,SUR,AZUAY,CHORDELEG,CRESS,CHORDELEG_5 DE FEBRERO,CENTRO,5 DE FEBRERO Y 3 DE NOVIEMBRE,0968742420,ROSA HERMELINDA QUITO SINCHI,SI,11H00,09H00 A 12H30 - 14H00 A 18H00,09H00 A 12H30,cs5defebrero.chordeleg@gmail.com
-2.291089,-78.920409,NORTE,CHIMBORAZO,CHUNCHI,CONCESION,CHUNCHI_PRINCIPAL,CENTRO,CAPITAN RICAURTE 332 Y QUITO,03-2936146,CHRISTIAN EDUARDO BARONA RAMIREZ,SI,09H00,08H00 A 17H00,09H00 A 13H00,servientrega.chunchi@hotmail.com
-2.4680,-79.2968,SUR,CANAR,COCHANCAY,CRESS,COCHANCAY_AV 25 DE AGOSTO,CENTRO,CALLE VIA DURAN TAMBO S/N Y AV 25 DE AGOSTO - DIAGONAL RESTAURANT,0987004074,BETANCOURT HOYOS ISABEL CRISTINA,SI,11H00,09H00 A 12H30 - 13H30 A 17H00,09H00 A 13H00,csav25deagosto.cochancay@gmail.com
-1.547004,-80.010917,SUR,GUAYAS,COLIMES,CRESS,COLIMES_PADRE FIERRO,CENTRO,PADRE FIERRO S/N Y ROSENDO CARBO,04-2956088,BETANCOURT HOYOS ISABEL CRISTINA,SI,14H00,08:00 a 17:00,09:00 a 13:00,cspadrefierro.colimes@gmail.com
0.299377,-78.264356,NORTE,IMBABURA,COTACACHI,DIRECTO,COTACACHI_GONZALEZ SUAREZ,CENTRO,GONZALEZ SUAREZ S/N Y GARCIA MORENO,06-373200 EXT 6302,ANDRADE GUERRERO JAIME ERNESTO,SI,12H30,08H30 A 13H30 - 14H30 A 18H00,09H00 A 12H00,csprincipal.cotacachi@servientrega.com.ec
